epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,85.255,2.65977,0.43359,0.77344,1.89636,6.60714e-05,6.60714e-05,0.0670304
2,160.654,1.75291,0.55469,0.89453,1.38391,0.000132536,0.000132536,0.0337635
3,243.774,1.29961,0.58984,0.90625,1.23071,0.00019819,0.00019819,0.000495809
4,326.706,1.06467,0.65234,0.94141,1.09015,0.000197265,0.000197265,0.000197265
5,410.657,0.90815,0.625,0.94922,1.0545,0.000195155,0.000195155,0.000195155
6,490.146,0.76233,0.66406,0.94531,1.02328,0.000192464,0.000192464,0.000192464
7,571.643,0.68758,0.66797,0.95703,1.07178,0.00018921,0.00018921,0.00018921
8,652.107,0.64194,0.64844,0.94141,1.10132,0.000185411,0.000185411,0.000185411
9,733.403,0.56835,0.63281,0.94141,1.10394,0.000181093,0.000181093,0.000181093
10,811.857,0.52695,0.68359,0.93359,1.07788,0.00017628,0.00017628,0.00017628
11,891.758,0.42663,0.71484,0.94141,1.06354,0.000171004,0.000171004,0.000171004
12,975.22,0.44425,0.63672,0.94922,1.1875,0.000165295,0.000165295,0.000165295
13,1053.48,0.34967,0.67188,0.9375,1.20404,0.000159191,0.000159191,0.000159191
14,1134.03,0.33615,0.71875,0.94141,1.10919,0.000152727,0.000152727,0.000152727
15,1212.1,0.2998,0.66016,0.96094,1.23517,0.000145945,0.000145945,0.000145945
16,1291.9,0.27603,0.70312,0.94922,1.17188,0.000138886,0.000138886,0.000138886
17,1370.2,0.27256,0.70703,0.94531,1.24042,0.000131593,0.000131593,0.000131593
18,1448.1,0.27977,0.67969,0.92969,1.28278,0.000124111,0.000124111,0.000124111
19,1523.43,0.21578,0.65625,0.9375,1.30017,0.000116487,0.000116487,0.000116487
20,1598.88,0.19603,0.70703,0.94922,1.23926,0.000108767,0.000108767,0.000108767
21,1677.4,0.20073,0.69531,0.94141,1.38794,0.000101,0.000101,0.000101
22,1754.07,0.15376,0.6875,0.9375,1.40125,9.32325e-05,9.32325e-05,9.32325e-05
23,1832.32,0.16494,0.68359,0.95703,1.33612,8.5513e-05,8.5513e-05,8.5513e-05
24,1910.35,0.15136,0.67969,0.92578,1.32031,7.78889e-05,7.78889e-05,7.78889e-05
25,1988.54,0.13926,0.70703,0.94531,1.315,7.04073e-05,7.04073e-05,7.04073e-05
26,2065,0.11942,0.71094,0.95312,1.27271,6.31143e-05,6.31143e-05,6.31143e-05
27,2147.17,0.12467,0.69531,0.9375,1.3208,5.60549e-05,5.60549e-05,5.60549e-05
28,2224.45,0.10771,0.71484,0.94531,1.32532,4.92726e-05,4.92726e-05,4.92726e-05
29,2300.01,0.10784,0.69531,0.94922,1.29602,4.28093e-05,4.28093e-05,4.28093e-05
30,2378.34,0.09568,0.68359,0.94141,1.30896,3.67046e-05,3.67046e-05,3.67046e-05
31,2459.72,0.10285,0.70703,0.92969,1.32593,3.09964e-05,3.09964e-05,3.09964e-05
32,2536.67,0.09332,0.70312,0.93359,1.33502,2.57198e-05,2.57198e-05,2.57198e-05
33,2613.42,0.08592,0.69531,0.94531,1.32648,2.09073e-05,2.09073e-05,2.09073e-05
34,2689.29,0.10218,0.70312,0.9375,1.29816,1.65886e-05,1.65886e-05,1.65886e-05
35,2768.06,0.07792,0.71875,0.94531,1.28113,1.27904e-05,1.27904e-05,1.27904e-05
36,2846.46,0.08477,0.72656,0.94531,1.26776,9.53593e-06,9.53593e-06,9.53593e-06
37,2927.42,0.08125,0.73828,0.9375,1.27722,6.8454e-06,6.8454e-06,6.8454e-06
38,3006.06,0.07712,0.72656,0.94531,1.2973,4.73538e-06,4.73538e-06,4.73538e-06
39,3085,0.07942,0.71094,0.94922,1.26929,3.21885e-06,3.21885e-06,3.21885e-06
40,3162.97,0.06987,0.70703,0.94531,1.29449,2.30518e-06,2.30518e-06,2.30518e-06
